




Analysis Type:	PANTHER Overrepresentation Test (Released 20190517)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	ythdf2_vennexclusive_genenames.bed (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Homo sapiens - REFLIST (20996)	ythdf2_vennexclusive_genenames.bed (2349)	ythdf2_vennexclusive_genenames.bed (expected)	ythdf2_vennexclusive_genenames.bed (over/under)	ythdf2_vennexclusive_genenames.bed (fold Enrichment)	ythdf2_vennexclusive_genenames.bed (raw P-value)	ythdf2_vennexclusive_genenames.bed (FDR)
metabolic process (GO:0008152)	4072	650	455.57	+	1.43	6.56E-20	1.18E-16
organic substance metabolic process (GO:0071704)	3338	552	373.45	+	1.48	2.27E-19	2.04E-16
macromolecule metabolic process (GO:0043170)	2419	420	270.63	+	1.55	1.93E-17	1.16E-14
Unclassified (UNCLASSIFIED)	10588	975	1184.57	-	.82	2.09E-16	9.38E-14
gene expression (GO:0010467)	1842	317	206.08	+	1.54	1.03E-12	3.70E-10
RNA processing (GO:0006396)	233	69	26.07	+	2.65	5.91E-11	1.77E-08
translational elongation (GO:0006414)	217	65	24.28	+	2.68	1.74E-10	3.48E-08
translational termination (GO:0006415)	217	65	24.28	+	2.68	1.74E-10	3.91E-08
immune system process (GO:0002376)	620	22	69.36	-	.32	2.40E-10	4.31E-08
formation of translation initiation ternary complex (GO:0001677)	217	65	24.28	+	2.68	1.74E-10	4.47E-08
immune response (GO:0006955)	350	6	39.16	-	.15	3.79E-10	6.18E-08
sensory perception of chemical stimulus (GO:0007606)	224	1	25.06	-	.04	2.00E-09	3.00E-07
translation (GO:0006412)	253	68	28.31	+	2.40	2.99E-09	4.14E-07
detection of chemical stimulus involved in sensory perception (GO:0050907)	184	0	20.59	-	 < 0.01	7.34E-09	9.42E-07
cell cycle (GO:0007049)	605	121	67.69	+	1.79	2.64E-08	3.17E-06
RNA splicing (GO:0008380)	176	51	19.69	+	2.59	4.09E-08	4.59E-06
mitotic cell cycle process (GO:1903047)	213	57	23.83	+	2.39	6.14E-08	6.13E-06
mitotic cell cycle (GO:0000278)	213	57	23.83	+	2.39	6.14E-08	6.49E-06
mitotic nuclear division (GO:0140014)	209	56	23.38	+	2.39	8.15E-08	7.71E-06
cellular component biogenesis (GO:0044085)	219	56	24.50	+	2.29	2.77E-07	2.37E-05
cellular component organization or biogenesis (GO:0071840)	219	56	24.50	+	2.29	2.77E-07	2.49E-05
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	164	46	18.35	+	2.51	3.63E-07	2.84E-05
mRNA splicing, via spliceosome (GO:0000398)	164	46	18.35	+	2.51	3.63E-07	2.97E-05
RNA splicing, via transesterification reactions (GO:0000375)	165	46	18.46	+	2.49	4.06E-07	3.04E-05
sensory perception (GO:0007600)	335	10	37.48	-	.27	4.96E-07	3.56E-05
ER to Golgi vesicle-mediated transport (GO:0006888)	84	30	9.40	+	3.19	6.20E-07	4.12E-05
humoral immune response (GO:0006959)	139	0	15.55	-	 < 0.01	6.19E-07	4.28E-05
defense response (GO:0006952)	246	5	27.52	-	.18	7.68E-07	4.93E-05
Golgi vesicle transport (GO:0048193)	124	36	13.87	+	2.59	3.71E-06	2.30E-04
lymphocyte activation (GO:0046649)	146	1	16.33	-	.06	5.70E-06	3.41E-04
regulation of cell activation (GO:0050865)	118	0	13.20	-	 < 0.01	7.79E-06	4.24E-04
regulation of leukocyte activation (GO:0002694)	116	0	12.98	-	 < 0.01	7.33E-06	4.25E-04
B cell activation (GO:0042113)	118	0	13.20	-	 < 0.01	7.79E-06	4.37E-04
cellular localization (GO:0051641)	934	155	104.49	+	1.48	8.47E-06	4.47E-04
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	136	1	15.22	-	.07	1.21E-05	5.60E-04
transport (GO:0006810)	1255	197	140.41	+	1.40	1.18E-05	5.73E-04
immune response-activating cell surface receptor signaling pathway (GO:0002429)	136	1	15.22	-	.07	1.21E-05	5.74E-04
establishment of localization (GO:0051234)	1255	197	140.41	+	1.40	1.18E-05	5.89E-04
regulation of lymphocyte activation (GO:0051249)	114	0	12.75	-	 < 0.01	1.17E-05	5.99E-04
localization (GO:0051179)	2059	299	230.36	+	1.30	1.44E-05	6.33E-04
proteolysis involved in cellular protein catabolic process (GO:0051603)	253	56	28.31	+	1.98	1.43E-05	6.43E-04
cellular protein catabolic process (GO:0044257)	255	56	28.53	+	1.96	1.59E-05	6.80E-04
modification-dependent protein catabolic process (GO:0019941)	76	25	8.50	+	2.94	1.66E-05	6.94E-04
macromolecule catabolic process (GO:0009057)	300	63	33.56	+	1.88	1.98E-05	8.08E-04
leukocyte activation (GO:0045321)	153	2	17.12	-	.12	2.15E-05	8.39E-04
protein catabolic process (GO:0030163)	289	61	32.33	+	1.89	2.11E-05	8.43E-04
organelle organization (GO:0006996)	771	130	86.26	+	1.51	2.71E-05	1.04E-03
response to bacterium (GO:0009617)	126	1	14.10	-	.07	4.02E-05	1.34E-03
protein import into nucleus (GO:0006606)	55	20	6.15	+	3.25	3.60E-05	1.35E-03
response to biotic stimulus (GO:0009607)	127	1	14.21	-	.07	4.16E-05	1.36E-03
response to other organism (GO:0051707)	126	1	14.10	-	.07	4.02E-05	1.36E-03
response to external biotic stimulus (GO:0043207)	126	1	14.10	-	.07	4.02E-05	1.39E-03
antigen receptor-mediated signaling pathway (GO:0050851)	125	1	13.98	-	.07	3.95E-05	1.39E-03
B cell receptor signaling pathway (GO:0050853)	100	0	11.19	-	 < 0.01	3.80E-05	1.39E-03
defense response to bacterium (GO:0042742)	124	1	13.87	-	.07	3.95E-05	1.42E-03
multicellular organismal process (GO:0032501)	1375	105	153.83	-	.68	4.74E-05	1.52E-03
cellular protein localization (GO:0034613)	853	139	95.43	+	1.46	5.03E-05	1.59E-03
